12:57:18.153 >> td
12:57:18.203 trigger debug on
12:57:18.506 >> v
12:57:18.766 a=2243311,b=2241780
12:57:18.766 a=2242779,b=2242779
12:57:18.766 a=2240230,b=2242779
12:57:18.766 a=2242913,b=2242779
12:57:18.766 a=2241962,b=2241962
12:57:18.766 a=2241861,b=2241962
12:57:18.766 a=2243133,b=2241962
12:57:18.766 a=2241540,b=2241861
12:57:18.766 a=2241701,b=2241701
12:57:18.766 a=2242567,b=2241701
12:57:18.766 a=2245391,b=2242567
12:57:18.766 a=2245438,b=2245391
12:57:18.766 a=2238705,b=2245391
12:57:18.766 a=2239000,b=2239000
12:57:18.766 a=2235666,b=2238705
12:57:18.766 a=2237702,b=2237702
12:57:18.766 a=2241358,b=2237702
12:57:18.766 a=2238177,b=2238177
12:57:18.766 a=2239815,b=2239815
12:57:18.766 a=2242521,b=2239815
12:57:18.766 a=2244755,b=2242521
12:57:18.766 a=2242940,b=2242940
12:57:18.766 a=2244432,b=2244432
12:57:18.767 a=2242410,b=2242940
12:57:18.767 a=2238061,b=2242410
12:57:18.767 a=2240946,b=2240946
12:57:18.767 a=2242284,b=2240946
12:57:18.767 a=2238167,b=2240946
12:57:18.767 a=2241081,b=2241081
12:57:18.767 a=2244699,b=2241081
12:57:18.767 a=2243495,b=2243495
12:57:18.767 a=2239790,b=2243495
12:57:18.767 a=2240986,b=2240986
12:57:18.767 a=2238189,b=2239790
12:57:18.767 a=2239316,b=2239316
12:57:18.767 a=2241787,b=2239316
12:57:18.767 a=2240130,b=2240130
12:57:18.767 a=2241314,b=2241314
12:57:18.767 a=2242272,b=2241314
12:57:18.767 a=2239635,b=2241314
12:57:18.767 a=2241467,b=2241467
12:57:18.767 a=2239759,b=2239759
12:57:18.767 a=2234523,b=2239759
12:57:18.767 a=2235634,b=2235634
12:57:18.767 a=2240397,b=2235634
12:57:18.767 a=2244466,b=2240397
12:57:18.767 a=2244635,b=2244466
12:57:18.767 a=2243658,b=2244466
12:57:18.767 a=2245531,b=2244635
12:57:18.767 a=2241750,b=2243658
12:57:18.767 a=2238211,b=2241750
12:57:18.767 a=2239129,b=2239129
12:57:18.817 a=2236886,b=2238211
