12:26:09.037 >> td
12:26:09.091 trigger debug on
12:26:09.447 >> v
12:26:09.616 a=2241494,b=2242182
12:26:09.616 a=2241469,b=2241494
12:26:09.617 a=2240073,b=2241469
12:26:09.617 a=2236978,b=2240073
12:26:09.617 a=2237555,b=2237555
12:26:09.617 a=2238417,b=2237555
12:26:09.617 a=2241352,b=2238417
12:26:09.617 a=2242864,b=2241352
12:26:09.667 a=2242223,b=2242223
12:26:09.667 a=2237086,b=2242223
12:26:09.667 a=2236962,b=2237086
12:26:09.667 a=2240778,b=2237086
12:26:09.667 a=2240112,b=2240112
12:26:09.667 a=2237899,b=2240112
12:26:09.667 a=2237928,b=2237928
12:26:09.667 a=2240379,b=2237928
12:26:09.667 a=2244570,b=2240379
12:26:09.667 a=2244050,b=2244050
12:26:09.667 a=2247055,b=2244570
12:26:09.667 a=2243053,b=2244050
12:26:09.667 a=2237097,b=2243053
12:26:09.667 a=2234725,b=2237097
12:26:09.667 a=2234710,b=2234725
12:26:09.667 a=2235793,b=2234725
12:26:09.667 a=2235656,b=2235656
12:26:09.667 a=2239116,b=2235793
12:26:09.667 a=2243523,b=2239116
12:26:09.667 a=2241626,b=2241626
12:26:09.667 a=2243025,b=2243025
12:26:09.667 a=2242950,b=2242950
12:26:09.667 a=2239354,b=2242950
12:26:09.667 a=2236647,b=2239354
12:26:09.668 a=2241414,b=2239354
12:26:09.668 a=2242237,b=2241414
12:26:09.668 a=2236964,b=2241414
12:26:09.668 a=2237414,b=2237414
12:26:09.668 a=2241903,b=2237414
12:26:09.668 a=2241752,b=2241752
12:26:09.668 a=2238175,b=2241752
12:26:09.668 a=2240994,b=2240994
12:26:09.668 a=2239682,b=2239682
12:26:09.668 a=2241246,b=2240994
12:26:09.668 a=2241862,b=2241246
12:26:09.668 a=2240946,b=2241246
12:26:09.668 a=2240957,b=2240957
12:26:09.668 a=2238305,b=2240946
12:26:09.668 a=2235790,b=2238305
12:26:09.668 a=2241150,b=2238305
12:26:09.668 a=2245382,b=2241150
12:26:09.668 a=2242753,b=2242753
12:26:09.668 a=2239592,b=2242753
12:26:09.668 a=2239895,b=2239895
12:26:09.668 a=2240654,b=2239895
12:26:09.668 a=2242128,b=2240654
12:26:09.668 a=2241912,b=2241912
12:26:09.668 a=2241671,b=2241912
12:26:09.668 a=2240033,b=2241671
12:26:09.668 a=2236815,b=2240033
12:26:09.668 a=2238000,b=2238000
12:26:09.668 a=2243097,b=2238000
12:26:09.668 a=2240646,b=2240646
12:26:09.668 a=2240659,b=2240659
12:26:09.668 a=2242529,b=2240659
12:26:09.668 a=2243638,b=2242529
12:26:09.668 a=2240180,b=2242529
12:26:09.668 a=2237690,b=2240180
12:26:09.668 a=2236771,b=2237690
12:26:09.668 a=2237199,b=2237199
12:26:09.668 a=2237985,b=2237199
12:26:09.668 a=2238221,b=2237985
12:26:09.668 a=2241060,b=2238221
12:26:09.668 a=2241025,b=2241025
12:26:09.668 a=2244295,b=2241060
12:26:09.669 a=2245042,b=2244295
12:26:09.669 a=2239969,b=2244295
12:26:09.719 a=2236717,b=2239969
12:26:09.719 a=2235961,b=2236717
12:26:09.719 a=2236364,b=2236364
12:26:09.719 a=2242127,b=2236364
12:26:09.719 a=2241750,b=2241750
12:26:09.719 a=2241231,b=2241750
12:26:09.719 a=2244670,b=2241750
12:26:09.719 a=2244328,b=2244328
12:26:09.719 a=2239420,b=2244328
12:26:09.719 a=2241201,b=2241201
12:26:09.719 a=2241654,b=2241201
12:26:09.719 a=2239242,b=2241201
12:26:09.719 a=2240497,b=2240497
12:26:09.719 a=2239606,b=2239606
12:26:09.719 a=2237674,b=2239606
12:26:09.719 a=2239425,b=2239425
12:26:09.719 a=2241663,b=2239425
12:26:09.719 a=2242112,b=2241663
12:26:09.719 a=2239444,b=2241663
12:26:09.719 a=2243092,b=2242112
12:26:09.719 a=2244081,b=2243092
12:26:09.719 a=2243171,b=2243171
12:26:09.719 a=2242512,b=2243171
12:26:09.719 a=2240889,b=2242512
12:26:09.719 a=2238077,b=2240889
12:26:09.719 a=2239814,b=2239814
12:26:09.719 a=2237524,b=2238077
12:26:09.719 a=2234150,b=2237524
12:26:09.719 a=2238784,b=2237524
12:26:09.720 a=2239499,b=2238784
12:26:09.720 a=2243224,b=2239499
12:26:09.720 a=2237751,b=2239499
12:26:09.720 a=2237058,b=2237751
12:26:09.720 a=2240776,b=2237751
12:26:09.720 a=2237125,b=2237125
12:26:09.720 a=2236522,b=2237125
12:26:09.720 a=2239752,b=2237125
12:26:09.720 a=2240030,b=2239752
12:26:09.720 a=2240542,b=2240030
12:26:09.720 a=2237792,b=2240030
12:26:09.720 a=2238962,b=2238962
12:26:09.720 a=2242752,b=2238962
12:26:09.720 a=2240499,b=2240499
12:26:09.720 a=2238152,b=2240499
12:26:09.720 a=2240311,b=2240311
12:26:09.720 a=2241793,b=2240311
12:26:09.720 a=2240795,b=2240795
12:26:09.720 a=2241080,b=2241080
12:26:09.720 a=2244707,b=2241080
12:26:09.720 a=2243320,b=2243320
12:26:09.720 a=2242272,b=2243320
12:26:09.720 a=2241863,b=2242272
12:26:09.720 a=2241342,b=2241863
12:26:09.720 a=2242456,b=2241863
12:26:09.720 a=2242292,b=2242292
12:26:09.720 a=2240220,b=2242292
12:26:09.720 a=2239555,b=2240220
12:26:09.720 a=2238680,b=2239555
12:26:09.720 a=2238572,b=2238680
12:26:09.720 a=2239764,b=2238680
12:26:09.720 a=2239727,b=2239727
12:26:09.720 a=2240181,b=2239764
12:26:09.720 a=2238972,b=2239727
12:26:09.720 a=2237940,b=2238972
12:26:09.720 a=2237687,b=2237940
12:26:09.720 a=2239559,b=2237940
12:26:09.720 a=2241227,b=2239559
12:26:09.720 a=2239886,b=2239886
12:26:09.771 a=2235432,b=2239886
12:26:09.771 a=2237309,b=2237309
12:26:09.771 a=2237980,b=2237309
12:26:09.771 a=2238356,b=2237980
12:26:09.771 a=2238284,b=2238284
12:26:09.771 a=2240726,b=2238356
12:26:09.771 a=2242817,b=2240726
12:26:09.771 a=2239686,b=2240726
12:26:09.771 a=2238771,b=2239686
12:26:09.771 a=2241769,b=2239686
12:26:09.771 a=2239430,b=2239430
12:26:09.771 a=2238629,b=2239430
12:26:09.771 a=2238179,b=2238629
12:26:09.771 a=2238380,b=2238380
12:26:09.771 a=2239489,b=2238380
12:26:09.771 a=2241558,b=2239489
12:26:09.771 a=2241218,b=2241218
12:26:09.771 a=2242518,b=2241558
12:26:09.771 a=2239262,b=2241218
12:26:09.771 a=2236811,b=2239262
12:26:09.771 a=2239387,b=2239262
12:26:09.771 a=2239172,b=2239172
12:26:09.771 a=2236891,b=2239172
12:26:09.771 a=2236650,b=2236891
12:26:09.771 a=2240471,b=2236891
12:26:09.771 a=2241475,b=2240471
12:26:09.771 a=2242306,b=2241475
12:26:09.771 a=2242456,b=2242306
12:26:09.771 a=2241455,b=2242306
12:26:09.771 a=2240992,b=2241455
12:26:09.771 a=2244741,b=2241455
12:26:09.772 a=2244230,b=2244230
12:26:09.772 a=2244526,b=2244526
12:26:09.772 a=2241414,b=2244230
12:26:09.772 a=2239490,b=2241414
12:26:09.772 a=2239638,b=2239638
12:26:09.772 a=2239538,b=2239538
12:26:09.772 a=2238289,b=2239538
12:26:09.772 a=2238667,b=2238667
12:26:09.772 a=2238421,b=2238421
