12:42:02.723 >> td
12:42:02.773 trigger debug on
12:42:03.076 >> v
12:42:03.284 a=2233967,b=2236060
12:42:03.284 a=2232999,b=2233967
12:42:03.284 a=2231849,b=2232999
12:42:03.284 a=2236823,b=2232999
12:42:03.284 a=2242811,b=2236823
12:42:03.284 a=2242343,b=2242343
12:42:03.284 a=2240956,b=2242343
12:42:03.284 a=2239262,b=2240956
12:42:03.284 a=2240571,b=2240571
12:42:03.284 a=2242233,b=2240571
12:42:03.334 a=2238943,b=2240571
12:42:03.334 a=2236471,b=2238943
12:42:03.334 a=2235146,b=2236471
12:42:03.334 a=2236363,b=2236363
12:42:03.334 a=2238683,b=2236363
12:42:03.334 a=2241490,b=2238683
12:42:03.334 a=2240327,b=2240327
12:42:03.334 a=2239385,b=2240327
12:42:03.334 a=2241316,b=2240327
12:42:03.334 a=2239460,b=2239460
12:42:03.334 a=2233967,b=2239460
12:42:03.334 a=2237453,b=2237453
12:42:03.334 a=2241147,b=2237453
12:42:03.335 a=2242413,b=2241147
12:42:03.335 a=2243232,b=2242413
12:42:03.335 a=2244189,b=2243232
12:42:03.335 a=2238438,b=2243232
12:42:03.335 a=2236386,b=2238438
12:42:03.335 a=2235773,b=2236386
12:42:03.335 a=2236235,b=2236235
12:42:03.335 a=2239545,b=2236235
12:42:03.335 a=2243374,b=2239545
12:42:03.335 a=2243833,b=2243374
12:42:03.335 a=2239747,b=2243374
12:42:03.335 a=2236540,b=2239747
12:42:03.354 a=2238062,b=2238062
12:42:03.354 a=2240035,b=2238062
12:42:03.354 a=2240637,b=2240035
12:42:03.354 a=2238337,b=2240035
12:42:03.354 a=2238273,b=2238337
12:42:03.354 a=2239280,b=2238337
12:42:03.354 a=2240499,b=2239280
12:42:03.354 a=2240208,b=2240208
12:42:03.354 a=2236582,b=2240208
12:42:03.354 a=2238751,b=2238751
12:42:03.354 a=2240248,b=2238751
12:42:03.354 a=2236017,b=2238751
12:42:03.354 a=2238392,b=2238392
12:42:03.354 a=2243183,b=2238392
12:42:03.354 a=2240483,b=2240483
12:42:03.354 a=2236455,b=2240483
12:42:03.354 a=2233254,b=2236455
12:42:03.354 a=2237172,b=2236455
12:42:03.354 a=2239169,b=2237172
12:42:03.354 a=2240666,b=2239169
12:42:03.354 a=2242312,b=2240666
12:42:03.354 a=2241339,b=2241339
12:42:03.354 a=2238841,b=2241339
12:42:03.354 a=2236815,b=2238841
12:42:03.355 a=2234307,b=2236815
12:42:03.355 a=2235482,b=2235482
12:42:03.355 a=2234680,b=2234680
12:42:03.355 a=2235345,b=2235345
12:42:03.355 a=2235287,b=2235287
12:42:03.355 a=2238740,b=2235345
12:42:03.355 a=2239313,b=2238740
12:42:03.355 a=2240031,b=2239313
12:42:03.355 a=2241802,b=2240031
12:42:03.355 a=2239271,b=2240031
12:42:03.355 a=2237207,b=2239271
12:42:03.355 a=2235951,b=2237207
12:42:03.355 a=2236300,b=2236300
12:42:03.355 a=2240620,b=2236300
12:42:03.355 a=2240195,b=2240195
12:42:03.355 a=2240497,b=2240497
