time,probe_value,Z,status
12:12:11,0,-0.0312,idle
12:12:13,0,-0.0312,idle
12:12:16,0,-0.0312,idle
12:12:19,0,-0.0312,idle
12:12:22,0,-0.0312,idle
12:12:25,0,-0.0312,idle
12:12:28,0,-0.0312,idle
12:12:31,0,-0.0312,idle
12:12:34,0,-0.0312,idle
12:12:37,0,-0.0312,idle
12:12:40,0,-0.0312,idle
12:12:43,0,-0.0312,idle
12:12:46,0,-0.0312,idle
12:12:49,0,-0.0312,idle
12:12:52,0,-0.0312,idle
12:12:54,0,-0.0312,idle
12:12:58,0,-0.0312,idle
12:13:00,0,-0.0312,idle
12:13:03,0,-0.0312,idle
12:13:06,0,-0.0312,idle
12:13:09,0,-0.0312,idle
12:13:12,0,-0.0312,idle
12:13:15,0,-0.0312,idle
12:13:18,0,-0.0312,idle
12:13:21,0,-0.0312,idle
12:13:24,0,-0.0312,idle
12:13:27,0,-0.0312,idle
12:13:30,0,-0.0312,idle
12:13:33,0,-0.0312,idle
12:13:36,0,-0.0312,idle
12:13:39,0,-0.0312,idle
12:13:42,0,-0.0312,idle
12:13:45,0,-0.0312,idle
12:13:48,0,-0.0312,idle
12:13:51,0,-0.0312,idle
12:13:55,0,-0.0312,idle
12:13:58,0,-0.0312,idle
12:14:01,0,-0.0312,idle
12:14:04,0,-0.0312,idle
12:14:07,0,-0.0312,idle
12:14:10,0,-0.0312,idle
12:14:13,0,-0.0312,idle
12:14:16,0,-0.0312,idle
12:14:19,0,-0.0312,idle
12:14:22,0,-0.0312,idle
12:14:25,0,-0.0312,idle
12:14:28,0,-0.0312,idle
12:14:31,0,-0.0312,idle
12:14:34,0,-0.0312,idle
12:14:36,0,-0.0312,idle
12:14:39,0,-0.0312,idle
12:14:42,0,-0.0312,idle
12:14:45,0,-0.0312,idle
12:14:48,0,-0.0312,idle
12:14:51,0,-0.0312,idle
12:14:54,0,-0.0312,idle
12:14:57,0,-0.0312,idle
12:15:00,0,-0.0312,idle
12:15:03,0,-0.0312,idle
12:15:06,0,-0.0312,idle
12:15:09,0,-0.0312,idle
12:15:12,0,-0.0312,idle
12:15:15,0,-0.0312,idle
12:15:18,0,-0.0312,idle
12:15:21,0,-0.0312,idle
12:15:24,0,-0.0312,idle
12:15:27,0,-0.0312,idle
12:15:30,0,-0.0312,idle
12:15:33,0,-0.0312,idle
12:15:36,0,-0.0312,idle
12:15:39,0,-0.0312,idle
12:15:42,0,-0.0312,idle
12:15:45,0,-0.0312,idle
12:15:48,0,-0.0312,idle
12:15:51,0,-0.0312,idle
12:15:54,0,-0.0312,idle
12:15:57,0,-0.0312,idle
12:16:00,0,-0.0312,idle
12:16:03,0,-0.0312,idle
12:16:06,0,-0.0312,idle
12:16:10,0,-0.0312,idle
12:16:13,0,-0.0312,idle
12:16:16,0,-0.0312,idle
12:16:19,0,-0.0312,idle
12:16:22,0,-0.0312,idle
12:16:25,0,-0.0312,idle
12:16:28,0,-0.0312,idle
12:16:31,0,-0.0312,idle
12:16:34,0,-0.0312,idle
12:16:38,0,4.969,busy
12:16:41,0,4.969,busy
12:16:45,0,4.969,busy
12:16:48,0,1.878,busy
12:16:52,0,3.230,busy
12:16:55,0,5.489,busy
12:16:59,0,9.270,busy
12:17:02,0,0.623,idle
12:17:05,0,-2.725,busy
12:17:09,0,1.970,busy
12:17:12,0,3.811,busy
12:17:16,0,8.671,busy
12:17:19,0,0.363,idle
12:17:22,0,0.363,idle
12:17:26,0,0.363,idle
12:17:29,0,0.363,idle
12:17:32,0,0.363,idle
12:17:35,0,0.363,idle
12:17:38,0,0.363,idle
12:17:40,0,0.363,idle
12:17:44,0,0.363,idle
12:17:47,0,0.363,idle
12:17:50,0,0.363,idle
12:17:53,0,0.363,idle
12:17:56,0,0.363,idle
12:17:59,0,0.363,idle
12:18:02,0,0.363,idle
12:18:05,0,0.363,idle
12:18:08,0,0.363,idle
12:18:10,0,0.363,idle
12:18:13,0,0.363,idle
12:18:16,0,0.363,idle
12:18:19,0,0.363,idle
12:18:22,0,0.363,idle
12:18:25,0,0.363,idle
12:18:28,0,0.363,idle
12:18:31,0,0.363,idle
12:18:34,0,0.363,idle
12:18:37,0,0.363,idle
12:18:41,0,5.363,busy
12:18:44,0,5.363,busy
12:18:48,0,5.363,busy
12:18:51,0,1.715,busy
12:18:54,0,4.970,idle
12:18:57,0,4.970,idle
12:19:00,0,5.637,busy
12:19:04,0,0.0763,busy
