time,probe,Z,status
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:30,0,4.97,idle
12:22:31,0,4.97,idle
12:22:31,0,4.97,idle
12:22:31,0,4.97,idle
12:22:31,0,4.97,idle
12:22:31,0,4.97,idle
12:22:31,0,4.97,idle
12:22:31,0,4.97,idle
12:22:31,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:32,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:33,0,4.97,idle
12:22:34,0,4.97,idle
12:22:34,0,4.97,idle
12:22:34,0,4.97,idle
12:22:34,0,4.97,idle
12:22:34,0,4.97,idle
12:22:34,0,4.97,idle
12:22:34,0,4.97,idle
12:22:34,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:35,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:36,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:37,0,4.97,idle
12:22:38,0,4.97,idle
12:22:38,0,4.97,idle
12:22:38,0,4.97,idle
12:22:38,0,4.97,idle
12:22:38,0,4.97,idle
12:22:38,0,4.97,idle
12:22:38,0,4.97,idle
12:22:38,0,4.97,idle
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
