12:47:54.942 >> td
12:47:54.992 trigger debug on
12:47:55.295 >> v
12:47:55.503 a=2236922,b=2238835
12:47:55.503 a=2239128,b=2238835
12:47:55.503 a=2241064,b=2239128
12:47:55.503 a=2239831,b=2239831
12:47:55.503 a=2238803,b=2239831
12:47:55.503 a=2242066,b=2239831
12:47:55.503 a=2241857,b=2241857
12:47:55.503 a=2241805,b=2241857
12:47:55.503 a=2241373,b=2241805
12:47:55.503 a=2238614,b=2241373
12:47:55.503 a=2239598,b=2239598
12:47:55.503 a=2239851,b=2239598
12:47:55.503 a=2238580,b=2239598
12:47:55.503 a=2238110,b=2238580
12:47:55.503 a=2240007,b=2238580
12:47:55.503 a=2243959,b=2240007
12:47:55.503 a=2244514,b=2243959
12:47:55.503 a=2243804,b=2243959
12:47:55.503 a=2242343,b=2243804
12:47:55.503 a=2239173,b=2242343
12:47:55.503 a=2239032,b=2239173
12:47:55.503 a=2238144,b=2239032
12:47:55.503 a=2238531,b=2238531
12:47:55.503 a=2240219,b=2238531
12:47:55.503 a=2239660,b=2239660
12:47:55.503 a=2236106,b=2239660
12:47:55.504 a=2238739,b=2238739
12:47:55.504 a=2241426,b=2238739
12:47:55.504 a=2241039,b=2241039
12:47:55.504 a=2241341,b=2241341
12:47:55.504 a=2242588,b=2241341
12:47:55.504 a=2239894,b=2241341
12:47:55.554 a=2239310,b=2239894
12:47:55.554 a=2241450,b=2239894
12:47:55.554 a=2244603,b=2241450
12:47:55.554 a=2242026,b=2242026
12:47:55.554 a=2240272,b=2242026
12:47:55.554 a=2241280,b=2241280
12:47:55.554 a=2241916,b=2241280
12:47:55.554 a=2243998,b=2241916
12:47:55.554 a=2243344,b=2243344
12:47:55.554 a=2240463,b=2243344
12:47:55.554 a=2241116,b=2241116
12:47:55.554 a=2242213,b=2241116
12:47:55.554 a=2240962,b=2241116
12:47:55.554 a=2236997,b=2240962
12:47:55.554 a=2236256,b=2236997
12:47:55.554 a=2242847,b=2236997
12:47:55.554 a=2244931,b=2242847
12:47:55.554 a=2246834,b=2244931
12:47:55.554 a=2245650,b=2245650
12:47:55.554 a=2239434,b=2245650
12:47:55.554 a=2238273,b=2239434
12:47:55.555 a=2242482,b=2239434
12:47:55.555 a=2242087,b=2242087
12:47:55.555 a=2240970,b=2242087
12:47:55.555 a=2241224,b=2241224
12:47:55.555 a=2239382,b=2240970
12:47:55.555 a=2237659,b=2239382
12:47:55.555 a=2240884,b=2239382
12:47:55.555 a=2242481,b=2240884
12:47:55.555 a=2242635,b=2242481
12:47:55.555 a=2239821,b=2242481
12:47:55.555 a=2238141,b=2239821
12:47:55.555 a=2241154,b=2239821
12:47:55.555 a=2240689,b=2240689
12:47:55.555 a=2238756,b=2240689
12:47:55.555 a=2239566,b=2239566
