Sample,Timestamp,Current Error
828,4140.07,-0.01
829,4145.06,0.01
830,4150.12,0.01
831,4155.10,-0.02
832,4160.06,0.02
833,4165.06,0.01
834,4170.10,0.00
835,4175.08,0.00
836,4180.05,0.05
837,4185.07,0.02
838,4190.12,-0.05
839,4195.09,0.01
840,4200.06,0.06
841,4205.08,-0.05
842,4210.05,0.05
843,4215.09,0.00
844,4220.05,-0.06
845,4225.09,0.02
846,4230.05,0.06
847,4235.09,0.02
848,4240.12,-0.04
849,4245.07,0.07
850,4250.11,0.05
851,4255.07,-0.04
852,4260.05,0.00
853,4265.08,0.04
854,4270.05,-0.04
855,4275.11,0.01
856,4280.07,0.10
857,4285.10,0.02
858,4290.07,0.04
859,4295.04,0.06
860,4300.08,0.02
861,4305.12,0.04
862,4310.08,0.05
863,4315.08,0.11
864,4320.11,-0.01
865,4325.07,0.02
866,4330.11,0.11
867,4335.07,-0.02
868,4340.11,0.04
869,4345.08,0.09
870,4350.04,0.04
871,4355.08,0.02
872,4360.08,0.06
873,4365.04,0.05
874,4370.09,0.01
875,4375.08,0.01
876,4380.05,0.04
877,4385.08,-0.02
878,4390.13,-0.04
879,4395.09,0.07
880,4400.08,-0.04
881,4405.05,-0.02
882,4410.08,0.07
883,4415.05,-0.04
884,4420.10,-0.01
885,4425.08,0.02
886,4430.11,-0.05
887,4435.07,0.01
888,4440.05,-0.02
889,4445.09,-0.02
890,4450.07,0.02
891,4455.04,-0.06
892,4460.07,-0.04
893,4465.12,-0.04
894,4470.08,-0.05
895,4475.06,0.00
896,4480.10,-0.04
897,4485.07,-0.06
898,4490.12,-0.01
899,4495.09,-0.02
900,4500.06,-0.04
901,4505.08,-0.04
902,4510.12,-0.06
903,4515.11,-0.02
904,4520.06,-0.01
905,4525.12,-0.05
906,4530.11,0.00
907,4535.08,-0.01
908,4540.12,-0.06
909,4545.07,0.00
910,4550.07,-0.02
911,4555.09,-0.02
912,4560.07,0.00
913,4565.12,0.04
914,4570.10,-0.04
915,4575.07,-0.04
916,4580.12,-0.01
917,4585.08,-0.01
918,4590.05,-0.07
919,4595.07,0.02
920,4600.12,0.05
921,4605.04,-0.07
922,4610.07,0.04
