Sample,Timestamp,Current Error,PID Control Signal,Phase Shift
389,194.58,0.01,40.1,0
390,195.10,-0.01,37.5,0
391,195.62,0.01,43.4,0
392,196.05,0.01,39.9,0
393,196.57,-0.01,41.8,0
394,197.09,-0.02,38.8,0
395,197.60,0.00,42.2,0
396,198.12,0.02,40.4,0
397,198.55,0.01,41.7,0
398,199.05,0.00,37.9,0
399,199.57,-0.04,6.0,0
400,200.09,0.02,13.2,0
401,200.60,0.05,12.3,0
402,201.13,0.10,10.7,0
403,201.56,0.12,15.1,0
404,202.06,0.21,18.9,0
405,202.58,0.27,22.6,0
406,203.09,0.34,26.2,0
407,203.61,0.40,26.4,0
408,204.12,0.48,25.4,0
409,204.56,0.51,25.0,0
410,205.07,0.57,28.3,0
411,205.59,0.61,25.1,0
412,206.10,0.73,34.3,0
413,206.62,0.76,28.7,0
414,207.05,0.78,29.0,0
415,207.57,0.84,33.1,0
416,208.08,0.82,24.2,0
417,208.60,0.88,28.9,0
418,209.12,0.92,31.9,0
419,209.55,0.98,33.6,0
420,210.06,0.95,30.2,0
421,210.57,1.01,31.8,0
422,211.09,1.00,27.4,0
423,211.61,0.98,25.4,0
424,212.12,1.03,30.5,0
425,212.55,1.03,31.1,0
426,213.06,1.03,31.1,0
427,213.57,1.03,30.9,0
428,214.08,1.03,27.8,0
429,214.60,1.03,84.3,0
430,215.12,0.99,81.5,0
431,215.55,0.96,80.1,0
432,216.06,0.89,76.1,0
433,216.58,0.77,71.1,0
434,217.10,0.67,74.1,0
435,217.62,0.51,69.6,0
436,218.05,0.40,61.3,0
437,218.56,0.24,58.9,0
438,219.07,0.05,49.3,0
439,219.57,-0.01,49.4,0
440,220.09,-0.15,51.9,0
441,220.60,-0.29,45.2,0
442,221.12,-0.40,46.3,0
443,221.55,-0.52,43.4,0
444,222.06,-0.57,44.1,0
445,222.57,-0.65,43.5,0
446,223.09,-0.70,41.2,0
447,223.61,-0.77,35.3,0
448,224.12,-0.83,39.7,0
449,224.56,-0.88,37.9,0
450,225.06,-0.87,48.0,0
451,225.58,-0.88,49.0,0
452,226.09,-0.92,40.7,0
453,226.61,-0.90,50.9,0
454,227.05,-0.94,41.7,0
455,227.56,-0.93,43.3,0
456,228.07,-0.88,49.4,0
457,228.59,-0.92,49.6,0
458,229.10,-0.89,53.3,0
459,229.62,-0.92,22.9,0
460,230.05,-0.94,20.0,0
461,230.57,-0.89,22.8,0
462,231.08,-0.78,27.6,0
463,231.60,-0.79,26.0,0
464,232.11,-0.73,25.6,0
465,232.55,-0.66,31.0,0
466,233.05,-0.52,38.5,0
467,233.57,-0.38,45.1,0
468,234.09,-0.38,34.3,0
469,234.60,-0.22,48.5,0
470,235.12,-0.17,44.5,0
471,235.55,-0.06,51.6,0
472,236.07,0.02,52.3,0
473,236.58,0.10,51.0,0
474,237.10,0.16,53.8,0
475,237.62,0.18,52.7,0
476,238.05,0.20,51.3,0
477,238.57,0.23,54.3,0
478,239.09,0.26,55.1,0
479,239.60,0.26,51.8,0
480,240.12,0.27,50.6,0
481,240.55,0.27,50.6,0
482,241.05,0.28,49.5,0
483,241.56,0.28,55.8,0
484,242.07,0.23,49.1,0
485,242.59,0.22,50.6,0
486,243.11,0.18,48.7,0
487,243.63,0.18,53.9,0
488,244.06,0.11,47.5,0
489,244.57,0.06,42.5,0
490,245.09,0.09,47.8,0
491,245.60,0.05,43.3,0
492,246.12,-0.01,39.5,0
493,246.55,-0.02,40.1,0
494,247.06,-0.04,40.7,0
495,247.57,-0.09,39.0,0
496,248.09,-0.12,35.3,0
497,248.61,-0.13,41.0,0
498,249.12,-0.16,38.4,0
499,249.55,-0.18,39.5,0
500,250.07,-0.22,36.4,0
501,250.58,-0.22,35.6,0
502,251.11,-0.26,32.5,0
503,251.54,-0.29,31.2,0
504,252.05,-0.32,30.4,0
505,252.57,-0.32,34.5,0
506,253.09,-0.28,39.0,0
507,253.61,-0.32,34.1,0
508,254.12,-0.27,36.5,0
509,254.55,-0.35,29.2,0
510,255.06,-0.22,38.8,0
511,255.57,-0.21,42.3,0
512,256.08,-0.21,37.8,0
513,256.60,-0.17,40.6,0
514,257.11,-0.12,45.4,0
515,257.54,-0.13,40.6,0
516,258.06,-0.09,41.3,0
517,258.57,-0.10,38.1,0
518,259.09,0.01,46.9,0
519,259.61,-0.02,44.6,0
520,260.12,-0.01,44.3,0
521,260.56,0.01,44.1,0
522,261.07,0.02,45.3,0
523,261.59,0.06,46.4,0
524,262.10,0.05,44.3,0
525,262.62,0.06,48.2,0
526,263.05,0.09,46.5,0
527,263.57,0.07,45.2,0
528,264.08,0.09,47.4,0
529,264.60,0.10,49.6,0
530,265.12,0.05,44.5,0
531,265.55,-0.01,37.3,0
532,266.06,0.02,45.5,0
533,266.57,-0.01,39.9,0
534,267.09,0.01,46.8,0
535,267.61,0.05,48.0,0
536,268.12,-0.04,38.4,0
537,268.54,-0.02,40.5,0
538,269.05,-0.02,41.5,0
539,269.56,-0.04,38.3,0
540,270.07,-0.07,33.7,0
541,270.58,-0.04,43.7,0
542,271.09,-0.06,38.4,0
543,271.60,-0.06,41.1,0
544,272.11,-0.07,37.0,0
545,272.54,-0.04,41.8,0
546,273.05,-0.09,35.8,0
547,273.57,-0.06,39.9,0
548,274.08,-0.07,40.5,0
549,274.59,-0.04,44.2,0
550,275.10,-0.06,41.8,0
551,275.61,-0.05,44.7,0
552,276.12,-0.05,40.3,0
553,276.55,-0.05,41.1,0
554,277.05,-0.05,42.1,0
555,277.56,-0.05,40.2,0
556,278.07,-0.06,37.1,0
557,278.58,-0.02,40.9,0
558,279.10,-0.02,40.0,0
559,279.61,0.00,43.4,0
560,280.12,-0.01,39.3,0
561,280.55,-0.01,43.7,0
562,281.06,-0.04,40.5,0
563,281.57,0.02,44.9,0
564,282.08,-0.01,36.7,0
565,282.59,0.05,42.2,0
566,283.11,-0.01,35.9,0
567,283.62,0.02,42.4,0
568,284.05,0.06,46.8,0
569,284.56,0.05,44.0,0
570,285.06,0.06,44.5,0
571,285.57,0.05,43.2,0
572,286.08,0.09,47.0,0
573,286.60,0.05,39.7,0
574,287.12,0.02,42.4,0
575,287.54,0.04,42.0,0
576,288.05,0.01,39.5,0
577,288.57,0.00,32.9,0
578,289.08,0.00,39.2,0
579,289.59,-0.02,37.5,0
580,290.10,-0.01,38.8,0
581,290.62,0.01,42.2,0
582,291.05,-0.01,38.8,0
583,291.56,0.01,43.1,0
584,292.07,-0.05,38.5,0
585,292.59,-0.02,40.2,0
586,293.10,0.00,42.7,0
587,293.61,-0.05,35.8,0
588,294.12,-0.02,42.8,0
589,294.55,-0.09,36.2,0
590,295.06,0.01,48.3,0
591,295.57,-0.01,43.0,0
592,296.08,-0.02,39.1,0
593,296.59,-0.05,38.4,0
594,297.11,-0.04,42.3,0
595,297.62,-0.05,36.6,0
596,298.05,-0.04,38.6,0
597,298.56,0.01,42.9,0
598,299.06,-0.05,36.4,0
599,299.57,0.00,44.3,0
600,300.08,0.00,43.2,0
601,300.60,-0.02,39.9,0
602,301.12,0.00,46.7,0
603,301.63,-0.01,40.1,0
604,302.05,0.00,42.2,0
605,302.56,0.00,40.7,0
606,303.08,0.01,39.2,0
607,303.58,-0.02,36.3,0
608,304.10,0.02,44.9,0
609,304.60,0.05,45.7,0
610,305.12,0.01,39.2,0
611,305.54,-0.02,38.9,0
612,306.06,0.01,39.2,0
613,306.57,0.01,40.2,0
614,307.08,0.01,41.0,0
615,307.59,0.01,41.0,0
616,308.11,0.02,40.5,0
617,308.62,0.02,44.9,0
618,309.04,0.02,40.7,0
619,309.56,0.02,43.1,0
620,310.07,0.01,41.9,0
621,310.58,0.02,36.2,0
622,311.10,0.05,45.8,0
623,311.61,0.00,39.0,0
624,312.12,0.02,41.5,0
625,312.55,0.02,44.2,0
626,313.06,0.04,46.3,0
627,313.56,0.00,40.0,0
628,314.07,0.04,43.7,0
629,314.59,-0.01,38.7,0
630,315.11,-0.02,41.8,0
631,315.62,-0.02,39.9,0
632,316.04,-0.05,37.4,0
633,316.55,-0.02,39.2,0
634,317.06,-0.06,31.8,0
635,317.57,-0.06,38.1,0
636,318.08,-0.05,41.9,0
637,318.60,-0.06,37.9,0
638,319.11,-0.01,40.4,0
639,319.62,-0.06,36.2,0
640,320.05,-0.05,39.9,0
641,320.56,-0.04,43.0,0
642,321.08,-0.05,39.1,0
643,321.58,-0.04,40.2,0
644,322.10,-0.05,36.5,0
645,322.61,-0.04,41.2,0
646,323.05,-0.04,40.2,0
647,323.56,-0.09,35.2,0
648,324.07,-0.05,39.0,0
649,324.58,-0.05,38.1,0
650,325.10,-0.06,40.2,0
651,325.61,-0.09,36.8,0
652,326.12,-0.04,41.9,0
653,326.55,-0.06,36.7,0
654,327.05,-0.01,40.0,0
655,327.56,-0.04,41.0,0
656,328.08,-0.02,40.4,0
657,328.59,-0.02,40.3,0
658,329.10,0.01,42.4,0
659,329.61,0.01,40.7,0
660,330.04,0.00,43.8,0
661,330.56,0.01,43.2,0
662,331.06,0.01,45.0,0
663,331.57,-0.01,39.1,0
664,332.08,0.01,41.5,0
665,332.59,0.02,42.9,0
666,333.10,0.00,41.0,0
667,333.61,0.04,41.4,0
668,334.12,0.02,40.1,0
669,334.55,0.01,38.0,0
670,335.05,0.01,41.7,0
671,335.56,0.02,42.0,0
672,336.08,0.01,43.3,0
673,336.59,0.01,42.3,0
674,337.10,0.01,40.7,0
675,337.62,0.04,44.1,0
676,338.04,0.01,39.8,0
677,338.55,0.01,40.8,0
678,339.07,-0.02,40.3,0
679,339.57,-0.02,34.3,0
680,340.08,0.01,44.2,0
681,340.60,0.02,41.2,0
682,341.12,0.00,42.0,0
683,341.54,0.02,39.4,0
684,342.05,0.00,39.5,0
685,342.57,0.04,45.1,0
686,343.08,0.02,39.4,0
687,343.59,-0.02,36.1,0
688,344.10,0.00,40.4,0
689,344.62,0.02,39.4,0
690,345.05,0.00,36.9,0
691,345.56,0.00,40.5,0
692,346.07,0.00,42.1,0
693,346.59,0.01,45.2,0
694,347.10,-0.01,38.3,0
695,347.61,-0.02,38.8,0
696,348.05,-0.05,37.1,0
697,348.56,0.00,42.2,0
698,349.06,0.00,37.7,0
699,349.57,-0.02,41.4,0
700,350.08,-0.02,38.7,0
701,350.59,-0.01,39.2,0
702,351.10,-0.02,35.2,0
703,351.61,0.01,44.2,0
704,352.12,-0.01,41.8,0
705,352.54,0.00,43.0,0
706,353.05,-0.01,40.0,0
707,353.56,0.02,46.4,0
708,354.07,-0.02,39.6,0
709,354.58,0.00,39.5,0
710,355.10,-0.02,36.1,0
711,355.61,-0.04,34.8,0
712,356.12,-0.02,41.2,0
713,356.55,0.01,47.5,0
714,357.06,0.00,38.5,0
715,357.57,-0.02,39.4,0
716,358.09,0.02,43.6,0
717,358.59,0.05,47.9,0
718,359.10,0.07,46.2,0
719,359.61,0.02,43.6,0
720,360.12,0.06,44.8,0
721,360.55,0.02,39.3,0
722,361.05,0.02,39.3,0
723,361.56,0.00,41.3,0
724,362.07,0.01,40.8,0
725,362.58,0.04,43.3,0
726,363.10,0.04,40.7,0
727,363.61,0.01,39.9,0
728,364.04,0.05,42.8,0
729,364.56,0.02,40.3,0
730,365.07,0.05,43.8,0
731,365.59,0.09,48.4,0
732,366.10,0.04,39.7,0
733,366.62,0.04,43.3,0
734,367.05,0.02,46.4,0
735,367.57,0.06,46.7,0
736,368.09,0.02,42.2,0
737,368.61,-0.04,34.0,0
738,369.13,0.00,44.8,0
739,369.56,-0.01,36.6,0
740,370.07,0.00,42.3,0
741,370.59,-0.02,36.3,0
742,371.11,-0.01,38.5,0
743,371.54,-0.02,40.6,0
744,372.05,-0.04,37.5,0
745,372.56,-0.04,39.3,0
746,373.08,-0.06,36.8,0
747,373.60,-0.05,38.0,0
748,374.11,-0.01,41.9,0
749,374.54,0.01,45.3,0
750,375.05,-0.04,38.3,0
751,375.57,-0.05,38.0,0
752,376.08,0.00,44.8,0
753,376.60,-0.02,42.2,0
754,377.12,-0.01,40.0,0
755,377.55,-0.01,40.8,0
756,378.06,-0.02,42.4,0
757,378.58,0.00,43.8,0
758,379.09,0.00,43.1,0
759,379.62,-0.01,41.7,0
760,380.04,-0.02,40.5,0
761,380.56,-0.01,42.7,0
