Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
161,161.07,-45874,-559.99,-0.01,-18.6,0
162,162.05,-45896,-560.24,0.01,-18.6,0
163,163.10,-45918,-560.50,0.02,-18.5,0
164,164.07,-45941,-560.74,0.06,-18.5,0
165,165.06,-45958,-560.99,0.02,-18.5,0
166,166.12,-45980,-561.26,0.02,-18.4,0
167,167.09,-46000,-561.50,0.02,-18.4,0
168,168.06,-46018,-561.74,0.00,-18.4,0
169,169.12,-46040,-562.00,0.01,-18.4,0
170,170.08,-46058,-562.25,-0.01,-18.4,0
171,171.05,-46077,-562.49,-0.02,-18.4,0
172,172.09,-46096,-562.75,-0.05,-18.4,0
173,173.07,-46117,-562.99,-0.04,-18.5,0
174,174.06,-46135,-563.24,-0.07,-18.5,0
175,175.11,-46157,-563.50,-0.06,-18.5,0
176,176.09,-46179,-563.75,-0.04,-18.6,0
177,177.07,-46204,-563.99,0.02,-18.6,0
178,178.05,-46224,-564.24,0.02,-18.6,0
179,179.11,-46247,-564.50,0.04,-18.6,0
180,180.09,-46267,-564.75,0.04,-18.6,0
181,181.07,-46287,-564.99,0.04,-18.5,0
182,182.06,-46307,-565.24,0.04,-18.5,0
183,183.12,-46329,-565.51,0.04,-18.4,0
184,184.09,-46350,-565.75,0.05,-18.4,0
185,185.07,-46369,-565.99,0.04,-18.4,0
186,186.05,-46385,-566.24,-0.01,-18.4,0
187,187.11,-46407,-566.50,-0.01,-18.4,0
188,188.08,-46426,-566.75,-0.02,-18.4,0
189,189.06,-46442,-566.99,-0.07,-18.4,0
190,190.05,-46465,-567.24,-0.04,-18.5,0
191,191.11,-46485,-567.50,-0.06,-18.5,0
192,192.08,-46507,-567.75,-0.04,-18.6,0
193,193.06,-46528,-567.99,-0.02,-18.7,0
194,194.11,-46551,-568.25,0.00,-18.7,0
195,195.09,-46574,-568.50,0.04,-18.7,0
196,196.06,-46595,-568.74,0.05,-18.6,0
197,197.05,-46614,-568.99,0.04,-18.6,0
198,198.10,-46638,-569.25,0.06,-18.6,0
199,199.09,-46659,-569.50,0.07,-18.5,0
200,200.06,-46674,-569.74,0.01,-18.5,0
201,201.04,-46693,-569.99,0.00,-18.5,0
202,202.09,-46715,-570.25,0.00,-18.4,0
203,203.07,-46733,-570.49,-0.02,-18.4,0
204,204.05,-46753,-570.74,-0.02,-18.4,0
205,205.11,-46770,-571.00,-0.09,-18.5,0
206,206.09,-46791,-571.25,-0.07,-18.6,0
207,207.07,-46813,-571.49,-0.05,-18.6,0
208,208.05,-46833,-571.74,-0.05,-18.7,0
209,209.11,-46857,-572.00,-0.01,-18.7,0
210,210.09,-46878,-572.25,0.00,-18.8,0
211,211.07,-46902,-572.49,0.04,-18.8,0
212,212.05,-46921,-572.74,0.02,-18.7,0
213,213.11,-46942,-573.00,0.02,-18.7,0
214,214.08,-46964,-573.25,0.05,-18.6,0
215,215.07,-46983,-573.49,0.04,-18.6,0
216,216.04,-47003,-573.74,0.04,-18.6,0
217,217.09,-47023,-574.00,0.01,-18.5,0
218,218.06,-47045,-574.24,0.04,-18.5,0
219,219.04,-47065,-574.49,0.04,-18.5,0
220,220.10,-47082,-574.75,-0.02,-18.5,0
221,221.06,-47102,-574.99,-0.01,-18.5,0
222,222.04,-47118,-575.24,-0.06,-18.6,0
223,223.10,-47141,-575.50,-0.05,-18.7,0
224,224.07,-47164,-575.74,-0.01,-18.7,0
225,225.05,-47183,-575.99,-0.02,-18.8,0
226,226.04,-47206,-576.24,0.01,-18.8,0
227,227.09,-47229,-576.50,0.02,-18.8,0
228,228.07,-47248,-576.74,0.01,-18.7,0
229,229.05,-47269,-576.99,0.02,-18.7,0
230,230.10,-47293,-577.25,0.06,-18.6,0
231,231.07,-47310,-577.49,0.02,-18.6,0
232,232.05,-47330,-577.74,0.02,-18.5,0
233,233.11,-47351,-578.00,0.01,-18.5,0
234,234.09,-47373,-578.25,0.04,-18.5,0
235,235.08,-47394,-578.50,0.05,-18.5,0
236,236.04,-47410,-578.74,0.00,-18.5,0
237,237.11,-47430,-579.00,-0.02,-18.5,0
238,238.09,-47448,-579.25,-0.05,-18.5,0
239,239.07,-47468,-579.49,-0.05,-18.6,0
240,240.06,-47490,-579.74,-0.02,-18.6,0
241,241.04,-47512,-579.99,0.00,-18.6,0
242,242.10,-47534,-580.25,0.00,-18.6,0
243,243.08,-47559,-580.50,0.06,-18.6,0
244,244.06,-47578,-580.74,0.05,-18.6,0
245,245.12,-47599,-581.01,0.04,-18.5,0
246,246.09,-47623,-581.25,0.09,-18.5,0
247,247.07,-47641,-581.49,0.06,-18.4,0
248,248.05,-47661,-581.74,0.06,-18.4,0
249,249.12,-47683,-582.01,0.06,-18.3,0
250,250.08,-47701,-582.25,0.04,-18.3,0
251,251.07,-47720,-582.49,0.02,-18.2,0
252,252.06,-47738,-582.74,0.00,-18.2,0
253,253.04,-47759,-582.99,0.01,-18.2,0
254,254.10,-47777,-583.25,-0.04,-18.2,0
255,255.08,-47798,-583.50,-0.02,-18.3,0
256,256.06,-47820,-583.74,0.00,-18.3,0
257,257.05,-47840,-583.99,0.00,-18.3,0
258,258.10,-47859,-584.25,-0.04,-18.3,0
259,259.08,-47885,-584.50,0.04,-18.3,0
260,260.06,-47904,-584.74,0.02,-18.3,0
261,261.12,-47928,-585.00,0.05,-18.2,0
262,262.09,-47949,-585.25,0.06,-18.2,0
263,263.08,-47967,-585.50,0.04,-18.1,0
264,264.06,-47988,-585.74,0.05,-18.0,0
265,265.04,-48009,-585.99,0.06,-18.0,0
266,266.10,-48032,-586.25,0.07,-17.9,0
267,267.08,-48052,-586.50,0.07,-17.8,0
268,268.06,-48069,-586.74,0.04,-17.8,0
269,269.10,-48086,-587.00,-0.01,-17.8,0
270,270.09,-48107,-587.25,0.00,-17.8,0
271,271.07,-48124,-587.49,-0.04,-17.8,0
272,272.05,-48143,-587.74,-0.06,-17.8,0
273,273.11,-48167,-588.00,-0.02,-17.9,0
274,274.08,-48190,-588.24,0.01,-17.9,0
275,275.05,-48212,-588.49,0.04,-17.8,0
276,276.11,-48236,-588.75,0.06,-17.8,0
277,277.09,-48255,-589.00,0.05,-17.8,0
278,278.07,-48277,-589.24,0.07,-17.7,0
279,279.05,-48297,-589.49,0.07,-17.6,0
280,280.04,-48319,-589.74,0.10,-17.5,0
281,281.10,-48339,-590.00,0.07,-17.5,0
282,282.07,-48359,-590.24,0.07,-17.4,0
283,283.06,-48379,-590.49,0.07,-17.3,0
284,284.04,-48395,-590.74,0.02,-17.2,0
285,285.09,-48417,-591.00,0.02,-17.2,0
286,286.06,-48434,-591.24,-0.01,-17.2,0
287,287.05,-48453,-591.49,-0.02,-17.2,0
288,288.10,-48475,-591.75,-0.01,-17.2,0
289,289.09,-48496,-592.00,0.00,-17.2,0
290,290.06,-48516,-592.24,0.00,-17.2,0
291,291.07,-48541,-592.49,0.05,-17.2,0
292,292.05,-48561,-592.74,0.05,-17.2,0
293,293.10,-48583,-593.00,0.05,-17.1,0
294,294.08,-48604,-593.25,0.06,-17.0,0
295,295.06,-48626,-593.49,0.09,-17.0,0
296,296.11,-48647,-593.75,0.09,-16.9,0
297,297.09,-48667,-594.00,0.09,-16.8,0
298,298.07,-48689,-594.24,0.11,-16.7,0
299,299.04,-48707,-594.49,0.09,-16.6,0
300,300.10,-48728,-594.75,0.07,-16.5,0
301,301.09,-48749,-595.00,0.09,-16.5,0
302,302.07,-48765,-595.24,0.04,-16.4,0
303,303.05,-48783,-595.49,0.01,-16.4,0
304,304.10,-48803,-595.75,-0.01,-16.4,0
305,305.08,-48825,-596.00,0.01,-16.4,0
306,306.06,-48844,-596.24,0.00,-16.4,0
307,307.04,-48865,-596.49,0.01,-16.4,0
308,308.09,-48889,-596.75,0.04,-16.4,0
309,309.07,-48906,-596.99,0.00,-16.4,0
310,310.05,-48931,-597.24,0.06,-16.3,0
311,311.11,-48954,-597.50,0.07,-16.3,0
312,312.10,-48971,-597.75,0.04,-16.2,0
313,313.07,-48989,-597.99,0.01,-16.2,0
314,314.06,-49013,-598.24,0.06,-16.1,0
315,315.04,-49033,-598.49,0.06,-16.0,0
316,316.10,-49055,-598.75,0.06,-16.0,0
317,317.07,-49075,-598.99,0.06,-15.9,0
318,318.05,-49091,-599.24,0.01,-15.9,0
319,319.11,-49111,-599.50,0.00,-15.9,0
320,320.07,-49129,-599.74,-0.02,-15.9,0
321,321.06,-49150,-599.99,-0.01,-15.9,0
322,322.10,-49173,-600.25,0.00,-15.9,0
323,323.07,-49197,-600.49,0.06,-15.9,0
324,324.06,-49217,-600.74,0.05,-15.8,0
325,325.04,-49237,-600.99,0.05,-15.8,0
326,326.10,-49259,-601.25,0.06,-15.7,0
327,327.08,-49275,-601.50,0.00,-15.7,0
328,328.06,-49297,-601.74,0.02,-15.6,0
329,329.12,-49321,-602.01,0.06,-15.6,0
330,330.10,-49339,-602.25,0.04,-15.6,0
331,331.08,-49361,-602.50,0.05,-15.5,0
332,332.05,-49382,-602.74,0.07,-15.5,0
333,333.10,-49403,-603.00,0.06,-15.4,0
334,334.08,-49421,-603.25,0.04,-15.4,0
335,335.07,-49434,-603.49,-0.05,-15.4,0
336,336.05,-49456,-603.74,-0.02,-15.4,0
337,337.10,-49480,-604.00,0.00,-15.4,0
338,338.08,-49497,-604.25,-0.04,-15.4,0
339,339.07,-49521,-604.49,0.01,-15.4,0
340,340.04,-49541,-604.74,0.01,-15.4,0
341,341.09,-49563,-605.00,0.01,-15.4,0
342,342.07,-49579,-605.24,-0.04,-15.4,0
343,343.05,-49604,-605.49,0.02,-15.4,0
344,344.11,-49623,-605.75,0.00,-15.4,0
345,345.09,-49647,-606.00,0.05,-15.3,0
346,346.08,-49664,-606.25,0.00,-15.3,0
347,347.06,-49685,-606.49,0.01,-15.3,0
348,348.04,-49707,-606.74,0.04,-15.3,0
349,349.09,-49729,-607.00,0.05,-15.2,0
350,350.07,-49747,-607.24,0.02,-15.2,0
351,351.06,-49768,-607.49,0.02,-15.1,0
352,352.04,-49783,-607.74,-0.04,-15.2,0
353,353.10,-49807,-608.00,0.00,-15.2,0
354,354.08,-49825,-608.25,-0.02,-15.2,0
355,355.06,-49847,-608.49,-0.01,-15.2,0
356,356.11,-49870,-608.75,0.01,-15.2,0
357,357.09,-49888,-609.00,-0.01,-15.2,0
358,358.07,-49908,-609.24,-0.01,-15.2,0
359,359.05,-49930,-609.49,0.01,-15.3,0
360,360.11,-49952,-609.75,0.01,-15.3,0
361,361.09,-49969,-610.00,-0.02,-15.3,0
362,362.06,-49992,-610.24,0.01,-15.3,0
363,363.04,-50011,-610.49,0.00,-15.3,0
364,364.10,-50036,-610.75,0.04,-15.2,0
365,365.06,-50055,-610.99,0.04,-15.2,0
366,366.05,-50073,-611.24,0.00,-15.2,0
367,367.10,-50094,-611.50,0.00,-15.1,0
368,368.08,-50113,-611.75,-0.01,-15.1,0
369,369.06,-50131,-611.99,-0.04,-15.2,0
370,370.04,-50153,-612.24,-0.01,-15.2,0
371,371.10,-50179,-612.50,0.04,-15.2,0
372,372.08,-50194,-612.75,-0.02,-15.2,0
